GEOLOCATION_ID	IP_START_TXT	IP_END_TXT	CITY_NM	STATE_CD	STATE_NM	COUNTRY_CD	COUNTRY_NM	IP_VERSION4_FLG
5097	104.128.112.000	104.128.127.255	Broomfield		Colorado	US		1
5161	104.129.200.000	104.129.201.255	Denver		Colorado	US		1
10907	104.143.128.000	104.143.159.255	Broomfield		Colorado	US		1
10917	104.143.186.000	104.143.187.255	Denver		Colorado	US		1
11084	104.149.239.000	104.149.239.063	Highlands Ranch		Colorado	US		1
11152	104.152.020.000	104.152.023.255	Denver		Colorado	US		1
11204	104.153.156.000	104.153.159.255	Denver		Colorado	US		1
11498	104.171.224.000	104.171.224.255	Denver		Colorado	US		1
11500	104.171.225.008	104.171.239.255	Denver		Colorado	US		1
12375	104.193.044.000	104.193.044.255	Denver		Colorado	US		1
12452	104.200.131.000	104.200.131.255	Highlands Ranch		Colorado	US		1
12577	104.216.241.000	104.216.241.063	Highlands Ranch		Colorado	US		1
12581	104.216.053.000	104.216.053.063	Highlands Ranch		Colorado	US		1
12583	104.216.054.000	104.216.054.063	Highlands Ranch		Colorado	US		1
12587	104.216.074.000	104.216.074.031	Highlands Ranch		Colorado	US		1
12591	104.217.145.000	104.217.145.063	Highlands Ranch		Colorado	US		1
12593	104.217.146.000	104.217.146.063	Highlands Ranch		Colorado	US		1
12595	104.217.213.000	104.217.213.063	Highlands Ranch		Colorado	US		1
12597	104.217.022.000	104.217.022.063	Highlands Ranch		Colorado	US		1
12601	104.217.023.000	104.217.023.063	Highlands Ranch		Colorado	US		1
12603	104.217.024.000	104.217.024.063	Highlands Ranch		Colorado	US		1
12607	104.217.034.000	104.217.034.063	Highlands Ranch		Colorado	US		1
12609	104.217.036.000	104.217.036.063	Highlands Ranch		Colorado	US		1
12611	104.217.038.000	104.217.038.063	Highlands Ranch		Colorado	US		1
12613	104.217.039.000	104.217.039.063	Highlands Ranch		Colorado	US		1
12615	104.217.040.000	104.217.040.063	Highlands Ranch		Colorado	US		1
12617	104.217.075.000	104.217.075.063	Highlands Ranch		Colorado	US		1
12624	104.218.112.000	104.218.119.255	Englewood		Colorado	US		1
12650	104.218.198.000	104.218.198.007	Denver		Colorado	US		1
12652	104.218.199.000	104.218.199.007	Denver		Colorado	US		1
12701	104.219.168.000	104.219.171.255	Denver		Colorado	US		1
15967	104.232.128.000	104.232.159.255	Denver		Colorado	US		1
15984	104.232.064.000	104.232.079.255	Denver		Colorado	US		1
16266	104.247.117.128	104.247.117.191	Denver		Colorado	US		1
16400	104.247.003.000	104.247.003.007	Highlands Ranch		Colorado	US		1
16651	104.254.128.000	104.254.131.255	Highlands Ranch		Colorado	US		1
17366	104.037.008.000	104.037.015.255	Denver		Colorado	US		1
22256	107.000.100.072	107.000.100.079	Denver		Colorado	US		1
22259	107.000.101.000	107.000.101.255	Denver		Colorado	US		1
22272	107.000.105.176	107.000.105.183	Denver		Colorado	US		1
22277	107.000.106.128	107.000.106.135	Denver		Colorado	US		1
22280	107.000.106.152	107.000.106.159	Denver		Colorado	US		1
22289	107.000.109.160	107.000.109.167	Highlands Ranch		Colorado	US		1
22316	107.000.111.224	107.000.111.255	Denver		Colorado	US		1
22358	107.000.119.000	107.000.119.015	Highlands Ranch		Colorado	US		1
22359	107.000.119.016	107.000.119.019	Denver		Colorado	US		1
22360	107.000.119.020	107.000.119.255	Highlands Ranch		Colorado	US		1
22394	107.000.123.152	107.000.123.159	Denver		Colorado	US		1
22397	107.000.123.192	107.000.123.215	Denver		Colorado	US		1
22404	107.000.123.080	107.000.123.087	Denver		Colorado	US		1
22562	107.000.141.192	107.000.141.195	Denver		Colorado	US		1
22564	107.000.141.200	107.000.141.207	Denver		Colorado	US		1
22572	107.000.141.076	107.000.141.095	Denver		Colorado	US		1
